iter	Passed	Remaining
247	1045	3169
248	1048	3162
249	1051	3155
250	1054	3147
251	1057	3140
252	1061	3133
253	1068	3137
254	1071	3131
255	1075	3126
256	1080	3122
257	1083	3116
258	1087	3111
259	1091	3105
260	1094	3099
261	1098	3095
262	1102	3089
263	1106	3085
264	1110	3081
265	1116	3080
266	1120	3074
267	1123	3069
268	1127	3064
269	1131	3059
270	1134	3052
271	1138	3045
272	1141	3038
273	1144	3033
274	1147	3026
275	1151	3019
276	1154	3014
277	1158	3007
278	1161	3001
279	1171	3012
280	1174	3006
281	1178	2999
282	1181	2993
283	1185	2987
284	1188	2981
285	1191	2974
286	1194	2968
287	1197	2961
288	1201	2954
289	1204	2948
290	1207	2941
291	1211	2936
292	1214	2929
293	1217	2923
294	1220	2916
295	1223	2910
296	1226	2904
297	1230	2898
298	1233	2891
299	1236	2885
300	1239	2879
301	1242	2872
302	1246	2866
303	1249	2861
304	1252	2854
305	1256	2849
306	1260	2844
307	1263	2838
308	1266	2832
309	1269	2826
310	1273	2820
311	1276	2814
312	1279	2809
313	1282	2802
314	1286	2796
315	1289	2791
316	1292	2785
317	1295	2779
318	1299	2773
319	1302	2767
320	1305	2762
321	1309	2756
322	1312	2750
323	1315	2745
324	1319	2739
325	1322	2733
326	1325	2728
327	1329	2723
328	1332	2717
329	1335	2711
330	1339	2706
331	1342	2700
332	1345	2695
333	1349	2689
334	1352	2684
335	1355	2678
336	1358	2673
337	1361	2667
338	1365	2662
339	1368	2656
340	1371	2651
341	1375	2646
342	1378	2641
343	1382	2635
344	1385	2630
345	1388	2624
346	1391	2619
347	1395	2615
348	1400	2611
349	1410	2620
350	1414	2615
351	1418	2610
352	1421	2605
353	1425	2600
354	1428	2595
355	1433	2592
356	1436	2587
357	1439	2581
358	1443	2576
359	1446	2571
360	1450	2567
361	1453	2562
362	1457	2556
363	1460	2551
364	1463	2546
365	1467	2541
366	1470	2536
367	1473	2530
368	1476	2525
369	1480	2521
370	1483	2515
371	1486	2510
372	1490	2504
373	1493	2499
374	1496	2494
375	1500	2489
376	1503	2484
377	1506	2478
378	1509	2473
379	1512	2468
380	1516	2463
381	1519	2457
382	1522	2452
383	1526	2448
384	1529	2443
385	1532	2438
386	1536	2433
387	1539	2428
388	1543	2423
389	1546	2419
390	1549	2413
391	1552	2408
392	1556	2404
393	1559	2399
394	1563	2394
395	1566	2388
396	1569	2383
397	1572	2378
398	1575	2373
399	1578	2368
400	1582	2363
401	1585	2358
402	1588	2353
403	1592	2348
404	1595	2343
405	1598	2338
406	1601	2333
407	1604	2328
408	1607	2323
409	1610	2318
410	1614	2313
411	1617	2308
412	1621	2304
413	1624	2299
414	1627	2294
415	1631	2289
416	1634	2285
417	1637	2280
418	1647	2284
419	1651	2280
420	1655	2276
421	1658	2271
422	1661	2266
423	1664	2261
424	1667	2256
425	1671	2252
426	1674	2247
427	1677	2242
428	1681	2237
429	1684	2232
430	1687	2227
431	1691	2223
432	1694	2219
433	1698	2215
434	1702	2211
435	1706	2206
436	1709	2202
437	1712	2197
438	1716	2193
439	1727	2198
440	1731	2194
441	1735	2190
442	1738	2185
443	1741	2180
444	1744	2176
445	1748	2171
446	1752	2167
447	1755	2163
448	1759	2158
449	1762	2153
450	1766	2150
451	1770	2146
452	1773	2141
453	1777	2137
454	1781	2133
455	1784	2129
456	1787	2124
457	1791	2119
458	1794	2115
459	1799	2112
460	1802	2107
461	1806	2103
462	1809	2098
463	1813	2094
464	1817	2091
465	1821	2087
466	1824	2082
467	1828	2078
468	1831	2074
469	1835	2069
470	1838	2065
471	1842	2060
472	1845	2056
473	1849	2051
474	1852	2047
475	1855	2042
476	1859	2038
477	1862	2034
478	1865	2029
479	1869	2025
480	1873	2021
481	1877	2018
482	1889	2022
483	1892	2017
484	1895	2012
485	1899	2008
486	1903	2004
487	1907	2001
488	1911	1997
489	1914	1992
490	1918	1988
491	1921	1984
492	1925	1980
493	1929	1976
494	1932	1972
495	1936	1968
496	1940	1964
497	1944	1959
498	1947	1955
499	1951	1951
500	1954	1946
501	1958	1942
502	1961	1938
503	1965	1933
504	1968	1929
505	1972	1925
506	1975	1921
507	1978	1916
508	1982	1912
509	1985	1907
510	1988	1903
511	1992	1898
512	1996	1894
513	1999	1890
514	2003	1886
515	2006	1881
516	2009	1877
517	2012	1872
518	2016	1868
519	2020	1864
520	2023	1860
521	2027	1856
522	2030	1851
523	2034	1847
524	2038	1843
525	2042	1840
526	2045	1835
527	2048	1831
528	2053	1828
529	2056	1824
530	2060	1819
531	2063	1815
532	2066	1810
533	2070	1807
534	2073	1802
535	2077	1798
536	2081	1794
537	2085	1790
538	2088	1786
539	2091	1781
540	2094	1777
541	2098	1773
542	2101	1768
543	2104	1764
544	2108	1759
545	2111	1755
546	2115	1751
547	2125	1752
548	2128	1748
549	2131	1744
550	2134	1739
551	2138	1735
552	2141	1731
553	2145	1727
554	2149	1723
555	2153	1720
556	2157	1715
557	2160	1711
558	2166	1709
559	2169	1704
560	2172	1700
561	2177	1696
562	2182	1694
563	2186	1690
564	2189	1685
565	2193	1682
566	2198	1678
567	2201	1674
568	2205	1670
569	2209	1666
570	2214	1664
571	2218	1659
572	2221	1655
573	2226	1652
574	2231	1649
575	2234	1645
576	2237	1640
577	2245	1639
578	2248	1634
579	2252	1630
580	2255	1626
581	2261	1624
582	2264	1619
583	2267	1615
584	2271	1611
585	2277	1608
586	2280	1604
587	2284	1600
588	2287	1596
589	2291	1592
590	2294	1588
591	2298	1583
592	2301	1579
593	2305	1575
594	2308	1571
595	2312	1567
596	2315	1563
597	2319	1559
598	2322	1555
599	2326	1551
600	2330	1547
601	2334	1543
602	2337	1538
603	2340	1534
604	2344	1530
605	2348	1526
606	2353	1523
607	2364	1524
608	2369	1521
609	2373	1517
610	2377	1513
611	2381	1509
612	2385	1506
613	2389	1502
614	2393	1498
615	2397	1494
616	2401	1490
617	2406	1487
618	2409	1483
619	2413	1479
620	2417	1475
621	2420	1471
622	2424	1467
623	2428	1463
624	2433	1459
625	2437	1456
626	2441	1452
627	2444	1448
628	2449	1445
629	2454	1441
630	2458	1437
631	2461	1433
632	2465	1429
633	2470	1426
634	2473	1422
635	2477	1417
636	2481	1414
637	2485	1410
638	2488	1405
639	2491	1401
640	2494	1397
641	2498	1393
642	2501	1388
643	2504	1384
644	2507	1380
645	2510	1375
646	2514	1371
647	2517	1367
648	2520	1363
649	2523	1358
650	2526	1354
651	2530	1350
652	2533	1346
653	2536	1342
654	2540	1337
655	2543	1333
656	2546	1329
657	2549	1325
658	2554	1321
659	2558	1318
660	2561	1313
661	2565	1309
662	2568	1305
663	2571	1301
664	2574	1297
665	2578	1293
666	2582	1289
667	2585	1285
668	2589	1280
669	2592	1276
670	2601	1275
671	2605	1271
672	2608	1267
673	2611	1263
674	2614	1259
675	2618	1254
676	2621	1250
677	2625	1246
678	2628	1242
679	2631	1238
680	2636	1234
681	2639	1230
682	2643	1226
683	2646	1222
684	2650	1218
685	2654	1214
686	2657	1210
687	2660	1206
688	2663	1202
689	2666	1198
690	2670	1194
691	2673	1189
692	2676	1185
693	2680	1181
694	2683	1177
695	2686	1173
696	2690	1169
697	2693	1165
698	2696	1161
699	2700	1157
700	2703	1153
701	2706	1148
702	2710	1145
703	2714	1141
704	2718	1137
705	2721	1133
706	2726	1129
707	2729	1125
708	2733	1122
709	2737	1118
710	2741	1114
711	2744	1110
712	2748	1106
713	2751	1102
714	2756	1098
715	2759	1094
716	2763	1090
717	2767	1086
718	2771	1083
719	2775	1079
720	2778	1075
721	2782	1071
722	2786	1067
723	2790	1063
724	2794	1060
725	2798	1056
726	2802	1052
727	2806	1048
728	2810	1044
729	2815	1041
730	2819	1037
731	2823	1033
732	2827	1029
733	2831	1026
734	2843	1025
735	2847	1021
736	2851	1017
737	2855	1013
738	2858	1009
739	2862	1005
740	2866	1001
741	2870	998
742	2874	994
743	2878	990
744	2881	986
745	2884	982
746	2888	978
747	2892	974
748	2895	970
749	2898	966
750	2902	962
751	2905	958
752	2908	954
753	2911	950
754	2914	945
755	2918	941
756	2921	937
757	2924	933
758	2928	929
759	2931	925
760	2934	921
761	2937	917
762	2940	913
763	2943	909
764	2947	905
765	2950	901
766	2953	897
767	2956	893
768	2959	889
769	2963	885
770	2966	881
771	2969	877
772	2973	873
773	2976	869
774	2979	865
775	2982	861
776	2986	857
777	2989	853
778	2993	849
779	2996	845
780	2999	841
781	3003	837
782	3006	833
783	3009	829
784	3013	825
785	3016	821
786	3019	817
787	3023	813
788	3026	809
789	3030	805
790	3033	801
791	3036	797
792	3039	793
793	3042	789
794	3046	785
795	3053	782
796	3056	778
797	3059	774
798	3063	770
799	3070	767
800	3080	765
801	3087	762
802	3091	758
803	3094	754
804	3100	751
805	3105	747
806	3108	743
807	3111	739
808	3118	736
809	3122	732
810	3125	728
811	3128	724
812	3135	721
813	3138	717
814	3141	713
815	3145	709
816	3151	705
817	3154	701
818	3158	697
819	3163	694
820	3167	690
821	3170	686
822	3173	682
823	3179	679
824	3183	675
825	3186	671
826	3190	667
827	3193	663
828	3198	659
829	3201	655
830	3204	651
831	3207	647
832	3211	643
833	3214	639
834	3218	635
835	3221	631
836	3225	628
837	3228	624
838	3231	620
839	3235	616
840	3238	612
841	3242	608
842	3245	604
843	3248	600
844	3251	596
845	3254	592
846	3257	588
847	3260	584
848	3264	580
849	3267	576
850	3270	572
851	3274	568
852	3277	564
853	3281	561
854	3284	557
855	3287	553
856	3291	549
857	3295	545
858	3298	541
859	3301	537
860	3305	533
861	3308	529
862	3324	527
863	3332	524
864	3336	520
865	3339	516
866	3342	512
867	3345	508
868	3349	504
869	3353	501
870	3356	497
871	3359	493
872	3362	489
873	3366	485
874	3369	481
875	3372	477
876	3376	473
877	3379	469
878	3383	465
879	3386	461
880	3389	457
881	3392	453
882	3396	450
883	3399	446
884	3403	442
885	3406	438
886	3409	434
887	3413	430
888	3416	426
889	3419	422
890	3423	418
891	3426	414
892	3429	410
893	3433	407
894	3436	403
895	3439	399
896	3443	395
897	3446	391
898	3449	387
899	3453	383
900	3456	379
901	3459	375
902	3463	372
903	3466	368
904	3469	364
905	3472	360
906	3475	356
907	3479	352
908	3482	348
909	3486	344
910	3489	340
911	3492	337
912	3496	333
913	3499	329
914	3502	325
915	3505	321
916	3508	317
917	3512	313
918	3516	309
919	3519	306
920	3522	302
921	3526	298
922	3530	294
923	3533	290
924	3536	286
925	3539	282
926	3544	279
927	3548	275
928	3558	271
929	3561	268
930	3564	264
931	3568	260
932	3571	256
933	3576	252
934	3579	248
935	3582	244
936	3586	241
937	3589	237
938	3593	233
939	3596	229
940	3599	225
941	3603	221
942	3606	218
943	3609	214
944	3612	210
945	3616	206
946	3619	202
947	3623	198
948	3626	194
949	3629	191
950	3633	187
951	3637	183
952	3640	179
953	3643	175
954	3647	171
955	3650	168
956	3653	164
957	3657	160
958	3660	156
959	3663	152
960	3667	148
961	3670	144
962	3673	141
963	3677	137
964	3680	133
965	3683	129
966	3687	125
967	3691	122
968	3694	118
969	3697	114
970	3701	110
971	3704	106
972	3707	102
973	3710	99
974	3714	95
975	3717	91
976	3720	87
977	3723	83
978	3727	79
979	3730	76
980	3733	72
981	3736	68
982	3740	64
983	3743	60
984	3747	57
985	3750	53
986	3753	49
987	3757	45
988	3760	41
989	3763	38
990	3766	34
991	3769	30
992	3772	26
993	3775	22
994	3780	18
995	3791	15
996	3794	11
997	3797	7
998	3801	3
999	3805	0
